type;ecs;zone;etas;surface;prime autre;prime gp
Maison;OUI;H1;110;S < 70;200,770;217,970
Maison;OUI;H1;110;70 ≤ S < 90;281,070;305,160
Maison;OUI;H1;110;90 ≤ S < 110;401,520;435,940
Maison;OUI;H1;110;110 ≤ S < 130;441,680;479,530
Maison;OUI;H1;110;S > 130;642,430;697,500
Maison;OUI;H1;120;S < 70;324,670;352,490
Maison;OUI;H1;120;70 ≤ S < 90;454,530;493,490
Maison;OUI;H1;120;90 ≤ S < 110;649,320;704,980
Maison;OUI;H1;120;110 ≤ S < 130;714,260;775,480
Maison;OUI;H1;120;S > 130;1038,920;1127,970
Maison;OUI;H2;110;S < 70;167,300;181,640
Maison;OUI;H2;110;70 ≤ S < 90;234,220;254,300
Maison;OUI;H2;110;90 ≤ S < 110;334,600;363,280
Maison;OUI;H2;110;110 ≤ S < 130;368,070;399,610
Maison;OUI;H2;110;S > 130;535,370;581,250
Maison;OUI;H2;120;S < 70;270,560;293,740
Maison;OUI;H2;120;70 ≤ S < 90;378,780;411,240
Maison;OUI;H2;120;90 ≤ S < 110;541,100;587,480
Maison;OUI;H2;120;110 ≤ S < 130;595,210;646,230
Maison;OUI;H2;120;S > 130;865,770;939,970
Appartement;OUI;H1;110;S < 35;109,200;118,560
Appartement;OUI;H1;110;35 ≤ S < 60;152,890;165,990
Appartement;OUI;H1;110;60 ≤ S < 70;218,400;237,120
Appartement;OUI;H1;110;70 ≤ S < 90;262,090;284,550
Appartement;OUI;H1;110;90 ≤ S < 110;327,600;355,680
Appartement;OUI;H1;110;110 ≤ S ≤ 130;414,970;450,530
Appartement;OUI;H1;110;S > 130;546,000;592,800
Appartement;OUI;H1;120;S < 35;176,400;191,520
Appartement;OUI;H1;120;35 ≤ S < 60;246,970;268,130
Appartement;OUI;H1;120;60 ≤ S < 70;352,800;383,040
Appartement;OUI;H1;120;70 ≤ S < 90;423,370;459,650
Appartement;OUI;H1;120;90 ≤ S < 110;529,200;574,560
Appartement;OUI;H1;120;110 ≤ S ≤ 130;670,320;727,780
Appartement;OUI;H1;120;S > 130;882,000;957,600
Appartement;OUI;H2;110;S < 35;91,000;98,800
Appartement;OUI;H2;110;35 ≤ S < 60;127,400;138,320
Appartement;OUI;H2;110;60 ≤ S < 70;182,000;197,600
Appartement;OUI;H2;110;70 ≤ S < 90;218,400;237,120
Appartement;OUI;H2;110;90 ≤ S < 110;273,000;296,400
Appartement;OUI;H2;110;110 ≤ S ≤ 130;345,800;375,440
Appartement;OUI;H2;110;S > 130;455,000;494,000
Appartement;OUI;H2;120;S < 35;147,000;159,600
Appartement;OUI;H2;120;35 ≤ S < 60;205,800;223,440
Appartement;OUI;H2;120;60 ≤ S < 70;294,000;319,200
Appartement;OUI;H2;120;70 ≤ S < 90;352,800;383,040
Appartement;OUI;H2;120;90 ≤ S < 110;441,000;478,800
Appartement;OUI;H2;120;110 ≤ S ≤ 130;558,600;606,480
Appartement;OUI;H2;120;S > 130;735,000;798,000
Maison;NON;H1;110;S < 70;157,920;171,460
Maison;NON;H1;110;70 ≤ S < 90;221,090;240,040
Maison;NON;H1;110;90 ≤ S < 110;315,840;342,920
Maison;NON;H1;110;110 ≤ S < 130;347,430;377,210
Maison;NON;H1;110;S > 130;505,340;548,660
Maison;NON;H1;120;S < 70;255,370;277,250
Maison;NON;H1;120;70 ≤ S < 90;357,510;388,150
Maison;NON;H1;120;90 ≤ S < 110;510,720;554,500
Maison;NON;H1;120;110 ≤ S < 130;561,800;609,950
Maison;NON;H1;120;S > 130;817,160;887,200
Maison;NON;H2;110;S < 70;131,60;142,880
Maison;NON;H2;110;70 ≤ S < 90;184,24;200,040
Maison;NON;H2;110;90 ≤ S < 110;263,20;285,760
Maison;NON;H2;110;110 ≤ S < 130;289,52;314,340
Maison;NON;H2;110;S > 130;421,12;457,220
Maison;NON;H2;120;S < 70;218,02;231,040
Maison;NON;H2;120;70 ≤ S < 90;297,92;323,040
Maison;NON;H2;120;90 ≤ S < 110;425,60;462,080
Maison;NON;H2;120;110 ≤ S < 130;468,17;508,290
Maison;NON;H2;120;S > 130;680,97;739,330
Appartement;NON;H1;110;S < 35;69,720;75,700
Appartement;NON;H1;110;35 ≤ S < 60;97,610;105,980
Appartement;NON;H1;110;60 ≤ S < 70;139,440;151,400
Appartement;NON;H1;110;70 ≤ S < 90;167,330;181,680
Appartement;NON;H1;110;90 ≤ S < 110;209,170;227,090
Appartement;NON;H1;110;110 ≤ S ≤ 130;264,940;287,650
Appartement;NON;H1;110;S > 130;348,600;378,480
Appartement;NON;H1;120;S < 35;112,990;122,670
Appartement;NON;H1;120;35 ≤ S < 60;158,180;171,730
Appartement;NON;H1;120;60 ≤ S < 70;225,970;245,330
Appartement;NON;H1;120;70 ≤ S < 90;271,160;294,400
Appartement;NON;H1;120;90 ≤ S < 110;338,940;368,000
Appartement;NON;H1;120;110 ≤ S ≤ 130;429,330;466,130
Appartement;NON;H1;120;S > 130;564,900;613,320
Appartement;NON;H2;110;S < 35;58,10;63,080
Appartement;NON;H2;110;35 ≤ S < 60;81,34;88,320
Appartement;NON;H2;110;60 ≤ S < 70;116,20;126,160
Appartement;NON;H2;110;70 ≤ S < 90;139,44;151,400
Appartement;NON;H2;110;90 ≤ S < 110;174,30;189,240
Appartement;NON;H2;110;110 ≤ S ≤ 130;220,79;239,710
Appartement;NON;H2;110;S > 130;290,50;315,400
Appartement;NON;H2;120;S < 35;94,16;102,220
Appartement;NON;H2;120;35 ≤ S < 60;131,81;143,110
Appartement;NON;H2;120;60 ≤ S < 70;188,30;204,440
Appartement;NON;H2;120;70 ≤ S < 90;225,97;245,330
Appartement;NON;H2;120;90 ≤ S < 110;282,46;306,660
Appartement;NON;H2;120;110 ≤ S ≤ 130;357,78;388,440
Appartement;NON;H2;120;S > 130;470,76;511,100
