type;zone;etas;surface;prime autre;prime gp;
Maison;H1;3.9;S < 35;147,24;177,61;
Maison;H1;3.9;35 ≤ S < 60;245,39;296,02;
Maison;H1;3.9;60 ≤ S < 70;294,47;355,22;
Maison;H1;3.9;70 ≤ S < 90;343,54;414,43;
Maison;H1;3.9;90 ≤ S < 110;490,77;592,04;
Maison;H1;3.9;110 ≤ S ≤ 130;539,85;651,24;
Maison;H1;3.9;S > 130;785,24;947,26;
Maison;H1;4.3;S < 35;151,58;182,86;
Maison;H1;4.3;35 ≤ S < 60;252,63;304,76;
Maison;H1;4.3;60 ≤ S < 70;303,16;365,71;
Maison;H1;4.3;70 ≤ S < 90;353,69;426,66;
Maison;H1;4.3;90 ≤ S < 110;505,26;609,52;
Maison;H1;4.3;110 ≤ S ≤ 130;555,79;670,47;
Maison;H1;4.3;S > 130;808,42;975,23;
Maison;H2;3.9;S < 35;120,40;145,24;
Maison;H2;3.9;35 ≤ S < 60;200,66;242,06;
Maison;H2;3.9;60 ≤ S < 70;240,79;290,47;
Maison;H2;3.9;70 ≤ S < 90;280,92;338,88;
Maison;H2;3.9;90 ≤ S < 110;401,31;484,12;
Maison;H2;3.9;110 ≤ S ≤ 130;441,45;532,53;
Maison;H2;3.9;S > 130;642,10;774,59;
Maison;H2;4.3;S < 35;123,99;149,57;
Maison;H2;4.3;35 ≤ S < 60;206,64;249,28;
Maison;H2;4.3;60 ≤ S < 70;247,97;299,14;
Maison;H2;4.3;70 ≤ S < 90;289,30;348,99;
Maison;H2;4.3;90 ≤ S < 110;413,28;498,56;
Maison;H2;4.3;110 ≤ S ≤ 130;454,61;548,42;
Maison;H2;4.3;S > 130;661,25;797,70;
Appartement;H1;3.9;S < 35;63,900;75,750;
Appartement;H1;3.9;35 ≤ S < 60;89,460;108,840;
Appartement;H1;3.9;60 ≤ S < 70;127,800;155,490;
Appartement;H1;3.9;70 ≤ S < 90;153,360;186,590;
Appartement;H1;3.9;90 ≤ S < 110;191,700;233,240;
Appartement;H1;3.9;110 ≤ S ≤ 130;242,820;295,430;
Appartement;H1;3.9;S > 130;319,500;388,730;
Appartement;H2;3.9;S < 35;52,200;63,510;
Appartement;H2;3.9;35 ≤ S < 60;73,080;88,910;
Appartement;H2;3.9;60 ≤ S < 70;104,400;127,020;
Appartement;H2;3.9;70 ≤ S < 90;125,280;152,420;
Appartement;H2;3.9;90 ≤ S < 110;156,600;190,530;
Appartement;H2;3.9;110 ≤ S ≤ 130;198,360;241,340;
Appartement;H2;3.9;S > 130;261,000;317,550;
