type;zone;etas;surface;prime autre;prime gp
Maison;H1;3.9;S < 35;163,590;177,610
Maison;H1;3.9;35 ≤ S < 60;272,650;296,020
Maison;H1;3.9;60 ≤ S < 70;327,180;355,220
Maison;H1;3.9;70 ≤ S < 90;381,710;414,430
Maison;H1;3.9;90 ≤ S < 110;545,300;592,040
Maison;H1;3.9;110 ≤ S ≤ 130;599,830;651,240
Maison;H1;3.9;S > 130;872,480;947,260
Maison;H1;4.3;S < 35;168,420;182,860
Maison;H1;4.3;35 ≤ S < 60;280,700;304,760
Maison;H1;4.3;60 ≤ S < 70;336,840;365,710
Maison;H1;4.3;70 ≤ S < 90;392,980;426,660
Maison;H1;4.3;90 ≤ S < 110;561,400;609,520
Maison;H1;4.3;110 ≤ S ≤ 130;617,540;670,470
Maison;H1;4.3;S > 130;898,240;975,230
Maison;H2;3.9;S < 35;133,780;145,240
Maison;H2;3.9;35 ≤ S < 60;222,960;242,060
Maison;H2;3.9;60 ≤ S < 70;267,540;290,470
Maison;H2;3.9;70 ≤ S < 90;312,130;338,880
Maison;H2;3.9;90 ≤ S < 110;445,900;484,120
Maison;H2;3.9;110 ≤ S ≤ 130;490,500;532,530
Maison;H2;3.9;S > 130;713,440;774,590
Maison;H2;4.3;S < 35;137,770;149,570
Maison;H2;4.3;35 ≤ S < 60;229,600;249,280
Maison;H2;4.3;60 ≤ S < 70;275,520;299,140
Maison;H2;4.3;70 ≤ S < 90;321,440;348,990
Maison;H2;4.3;90 ≤ S < 110;459,200;498,560
Maison;H2;4.3;110 ≤ S ≤ 130;505,120;548,420
Maison;H2;4.3;S > 130;734,720;797,700
Appartement;H1;3.9;S < 35;74,560;80,940
Appartement;H1;3.9;35 ≤ S < 60;104,380;113,320
Appartement;H1;3.9;60 ≤ S < 70;149,100;161,880
Appartement;H1;3.9;70 ≤ S < 90;178,920;194,260
Appartement;H1;3.9;90 ≤ S < 110;223,660;242,820
Appartement;H1;3.9;110 ≤ S ≤ 130;283,300;307,570
Appartement;H1;3.9;S > 130;372,760;404,700
Appartement;H2;3.9;S < 35;60,900;66,120
Appartement;H2;3.9;35 ≤ S < 60;85,270;92,570
Appartement;H2;3.9;60 ≤ S < 70;121,800;132,240
Appartement;H2;3.9;70 ≤ S < 90;146,170;158,690
Appartement;H2;3.9;90 ≤ S < 110;182,700;198,360
Appartement;H2;3.9;110 ≤ S ≤ 130;231,420;251,260
Appartement;H2;3.9;S > 130;304,500;330,600
